                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2689,                 1.0408,                 1.2032,                0.85375,                0.78154,                0.81341,                0.45906,                 1.5528,                 1.2092,                 1.4908,               0.000854,               0.000854,               0.000854
                     35,                 1.1764,                0.96565,                 1.1229,                0.90472,                0.74091,                0.81749,                0.47836,                 1.5099,                 1.1751,                 1.3954,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1809,                0.95978,                 1.1544,                0.93387,                0.78697,                0.85617,                 0.4979,                 1.4624,                 1.1114,                 1.3368,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.2061,                0.96166,                 1.1507,                0.95093,                0.78874,                0.85765,                0.48517,                 1.5236,                 1.1106,                 1.3701,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.1638,                0.92765,                 1.1319,                 0.9165,                0.79149,                0.85957,                0.48508,                 1.5296,                 1.0729,                 1.4071,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.1651,                0.91935,                 1.1472,                0.95804,                0.82645,                0.88688,                0.51441,                 1.5011,                0.96956,                  1.374,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.1519,                0.91492,                 1.1524,                0.94114,                0.82532,                0.91541,                0.49155,                  1.649,                 1.0301,                 1.4506,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.1871,                 0.8727,                 1.1406,                0.92512,                 0.8094,                0.91164,                0.50191,                 1.5524,                 1.0059,                 1.4252,             0.00076738,             0.00076738,             0.00076738
                     42,                  1.165,                0.93256,                 1.1394,                0.91783,                0.81711,                0.88504,                0.51757,                  1.441,                 1.0053,                 1.3381,               0.000755,               0.000755,               0.000755
                     43,                 1.1763,                0.87928,                 1.1335,                0.94824,                0.80732,                0.89996,                0.52124,                 1.4617,                 1.0058,                 1.3574,             0.00074263,             0.00074263,             0.00074263
                     44,                  1.123,                0.88625,                 1.1059,                0.89458,                0.79847,                0.90365,                0.48492,                 1.5764,                 1.0598,                 1.4178,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.1965,                0.89142,                 1.1378,                0.91518,                 0.7873,                0.92023,                0.51757,                 1.5109,                  1.112,                 1.3722,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.1513,                0.88855,                 1.1261,                0.92031,                0.78046,                0.87324,                0.48463,                  1.578,                 1.1326,                 1.4157,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.1876,                0.92347,                 1.1446,                0.86135,                0.79393,                   0.86,                0.45826,                 1.6124,                 1.1471,                 1.4384,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.1255,                0.84463,                 1.0957,                 0.9478,                0.76705,                0.87228,                0.51271,                 1.4601,                 1.0373,                 1.3467,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.1487,                0.87381,                 1.1244,                0.90275,                0.83821,                0.90821,                0.50518,                 1.5228,                  1.032,                 1.3648,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.1781,                0.89039,                 1.1542,                  0.933,                 0.8279,                0.91188,                0.52744,                 1.4639,                0.96889,                 1.3733,               0.000656,               0.000656,               0.000656
                     51,                 1.0652,                0.80696,                 1.1075,                0.94629,                 0.8012,                0.88743,                 0.5255,                 1.4619,                0.97592,                 1.3859,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.1155,                0.81578,                 1.1071,                 0.9237,                0.77664,                0.84432,                0.51316,                 1.4227,                0.99823,                 1.3868,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.0937,                0.80584,                 1.0876,                 0.9432,                0.78332,                0.83183,                0.47651,                 1.5103,                 1.0265,                 1.4082,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.1416,                0.84301,                 1.1183,                0.91065,                0.79326,                0.84207,                0.48932,                  1.432,                 1.0109,                 1.3918,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.0722,                0.80185,                 1.0994,                 0.8564,                0.82016,                0.87105,                0.51412,                 1.4247,                0.94481,                 1.3916,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.0299,                0.78641,                 1.0746,                0.86161,                0.84372,                0.91425,                0.53408,                 1.4265,                0.90665,                 1.3839,             0.00058175,             0.00058175,             0.00058175
