                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83399,                0.66792,                 1.3632,                0.96866,                0.99709,                  0.985,                 0.7526,                0.90637,                 0.7474,                 1.6833,              0.0013466,              0.0013466,              0.0013466
                     36,                0.88762,                0.70535,                 1.3908,                0.90726,                      1,                0.98515,                0.72951,                0.90707,                 0.6973,                 1.7068,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88226,                0.73254,                 1.3881,                0.90812,                      1,                 0.9886,                0.77444,                0.93823,                0.62965,                 1.7356,               0.001307,               0.001307,               0.001307
                     38,                 0.8318,                0.66982,                 1.3365,                0.99327,                0.96774,                0.99318,                0.74615,                0.98106,                0.70062,                 1.8278,              0.0012872,              0.0012872,              0.0012872
                     39,                0.80446,                0.67113,                 1.3491,                0.81077,                0.90323,                0.94303,                0.65378,                 1.1112,                 1.0411,                 1.9246,              0.0012674,              0.0012674,              0.0012674
                     40,                0.80122,                0.60083,                 1.2814,                0.92997,                0.85704,                0.91027,                0.63101,                 1.0616,                 1.1037,                 1.7977,              0.0012476,              0.0012476,              0.0012476
                     41,                0.80698,                0.65405,                 1.3255,                0.93722,                 0.9633,                0.98427,                0.75455,                  0.946,                0.70018,                 1.7615,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.7694,                0.63493,                 1.3245,                0.96761,                0.96379,                0.96689,                0.73205,                0.99838,                 0.6169,                 1.8556,               0.001208,               0.001208,               0.001208
                     43,                0.82329,                0.64767,                 1.3469,                0.99649,                0.96774,                0.99406,                 0.6819,                  1.212,                0.62585,                 2.2424,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.8154,                0.62901,                 1.3042,                0.93917,                0.99613,                0.98713,                0.70563,                 1.0468,                0.63983,                  1.954,              0.0011684,              0.0011684,              0.0011684
                     45,                0.79366,                0.60143,                 1.3135,                0.96361,                      1,                0.98406,                 0.7239,                0.97983,                0.65888,                 1.7725,              0.0011486,              0.0011486,              0.0011486
                     46,                0.78952,                0.62859,                 1.3115,                      1,                0.93383,                0.99139,                0.74007,                0.87398,                0.64584,                 1.6374,              0.0011288,              0.0011288,              0.0011288
                     47,                0.80741,                0.61803,                 1.3272,                0.96651,                0.93111,                0.98296,                0.73533,                0.88941,                0.65167,                 1.6923,               0.001109,               0.001109,               0.001109
                     48,                0.75834,                 0.5991,                 1.2722,                 0.9673,                0.95461,                0.98535,                0.77753,                 0.8378,                0.68273,                 1.5689,              0.0010892,              0.0010892,              0.0010892
                     49,                0.71339,                0.54768,                 1.2751,                0.96665,                0.96774,                0.98728,                0.75047,                0.96973,                0.68696,                 1.6829,              0.0010694,              0.0010694,              0.0010694
                     50,                0.75522,                0.59504,                 1.2691,                0.99821,                0.96774,                 0.9705,                0.70441,                 1.0667,                0.67503,                 1.9196,              0.0010496,              0.0010496,              0.0010496
                     51,                0.73777,                0.56812,                 1.2606,                 0.9675,                0.96038,                0.98851,                 0.7484,                 1.0141,                0.63502,                 1.8764,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.7939,                0.62126,                 1.3339,                0.99833,                0.96774,                0.97868,                0.76937,                0.92068,                0.57807,                 1.7687,                0.00101,                0.00101,                0.00101
                     53,                0.72508,                0.54448,                 1.2423,                0.98736,                0.96774,                0.97533,                0.76863,                0.82606,                0.57357,                   1.61,              0.0009902,              0.0009902,              0.0009902
                     54,                0.70817,                0.55217,                 1.2407,                0.90875,                0.96391,                0.98296,                0.77064,                0.82652,                0.66412,                 1.5767,              0.0009704,              0.0009704,              0.0009704
                     55,                0.73039,                0.52728,                 1.2683,                0.96469,                0.93548,                 0.9897,                 0.7343,                0.98513,                0.66263,                 1.7901,              0.0009506,              0.0009506,              0.0009506
                     56,                0.78023,                0.55058,                 1.3126,                0.99678,                0.96774,                0.99157,                0.75617,                0.97198,                0.57956,                 1.7676,              0.0009308,              0.0009308,              0.0009308
                     57,                0.69441,                 0.5732,                 1.2544,                0.99409,                0.96774,                0.96521,                0.72396,                0.97888,                0.60432,                 1.7754,               0.000911,               0.000911,               0.000911
                     58,                0.75329,                0.58071,                  1.307,                0.99472,                0.96774,                 0.9652,                0.74946,                0.97524,                0.61888,                 1.7847,              0.0008912,              0.0008912,              0.0008912
                     59,                0.69031,                0.53305,                 1.2195,                0.98506,                0.96774,                0.96847,                0.75378,                0.91716,                0.58309,                 1.6989,              0.0008714,              0.0008714,              0.0008714
                     60,                0.71353,                0.51955,                 1.2616,                0.93251,                0.96774,                0.99048,                0.74422,                0.88523,                0.57668,                 1.6328,              0.0008516,              0.0008516,              0.0008516
                     61,                0.71215,                0.52229,                 1.2318,                0.91157,                0.99767,                0.99048,                0.77935,                0.86351,                0.61942,                 1.6147,              0.0008318,              0.0008318,              0.0008318
                     62,                0.67357,                0.49805,                 1.2098,                0.99074,                0.96774,                0.99157,                0.77168,                0.88821,                0.59955,                 1.6649,               0.000812,               0.000812,               0.000812
                     63,                0.70153,                0.49367,                 1.2427,                0.96885,                0.96774,                0.99318,                0.74711,                0.93772,                0.59735,                 1.7366,              0.0007922,              0.0007922,              0.0007922
                     64,                0.70129,                0.50925,                 1.2161,                0.99682,                0.96774,                0.99406,                 0.7374,                0.98126,                0.58464,                 1.7432,              0.0007724,              0.0007724,              0.0007724
                     65,                0.69004,                 0.5235,                  1.221,                0.99724,                0.96774,                0.99318,                0.73604,                0.95684,                0.57489,                 1.7127,              0.0007526,              0.0007526,              0.0007526
                     66,                0.68226,                0.52894,                 1.2531,                0.99736,                0.96774,                 0.9702,                0.69974,                 1.0688,                0.64016,                 1.8514,              0.0007328,              0.0007328,              0.0007328
